"t","Ph","Te","Isol"
2013-01-29 12:05:00,64.5,9.88333333333333,8.63888081395972
2013-01-29 18:05:00,59,10.9303888888889,12.9056497631347
2013-01-30 00:05:00,57.5,11.7625138888889,-0.495677217920833
2013-01-30 06:05:00,54.3333333333333,12.2358194444444,-0.878819444444444
2013-01-30 12:05:00,52.1666666666667,12.1291666666667,16.1928429155875
2013-01-30 18:05:00,36.3333333333333,10.6160972222222,145.260109819128
2013-01-31 00:05:00,65.1666666666667,7.83411111111111,-1.21267226528889
2013-01-31 06:05:00,72.6666666666667,6.85490277777778,-0.832256675275
2013-01-31 12:05:00,73,6.25879166666667,22.3923934108556
2013-01-31 18:05:00,56.1666666666667,8.64683333333333,126.782937661501
2013-02-01 00:05:00,70.5,7.34827777777778,-0.911969745906944
2013-02-01 06:05:00,73.1666666666667,6.81277777777778,-0.708449074077778
2013-02-01 12:05:00,74.8333333333333,5.36420833333333,11.3151108957764
2013-02-01 18:05:00,73.3333333333333,6.44329166666667,15.1018976098208
2013-02-02 00:05:00,80,3.44727777777778,-0.333831287680556
2013-02-02 06:05:00,85.8333333333333,3.13598611111111,-0.476014750211111
2013-02-02 12:05:00,70.1666666666667,3.957125,134.598288113694
2013-02-02 18:05:00,48,3.33697222222222,228.921237080104
2013-02-03 00:05:00,88.5,1.34040277777778,-0.994430986218056
2013-02-03 06:05:00,92.8333333333333,2.06623611111111,-0.286444875108333
2013-02-03 12:05:00,75.5,2.88036111111111,129.014540267018
2013-02-03 18:05:00,80.5,3.42459722222222,19.9136170327278
2013-02-04 00:05:00,85,4.46531944444444,-0.215323535740278
2013-02-04 06:05:00,78.3333333333333,6.80108333333333,-0.235163652023611
2013-02-04 12:05:00,69,8.27888888888889,16.9606373815681
2013-02-04 18:05:00,61.3333333333333,7.71945833333333,57.838285960375
2013-02-05 00:05:00,73,6.20969444444444,-0.6984792205
2013-02-05 06:05:00,79.6666666666667,4.47959722222222,-0.885325150727778
2013-02-05 12:05:00,63,3.58529166666667,196.547103789833
2013-02-05 18:05:00,70.6666666666667,2.72954166666667,73.9757751937958
2013-02-06 00:05:00,93,0.970583333333333,-0.860723514215278
2013-02-06 06:05:00,96.8333333333333,0.793888888888889,-0.634953703698611
2013-02-06 12:05:00,89.6666666666667,1.11798611111111,65.4075096899222
2013-02-06 18:05:00,49.8333333333333,3.35193055555556,298.307959194671
2013-02-07 00:05:00,88.8333333333333,1.30111111111111,-0.734224267877778
2013-02-07 06:05:00,94.8333333333333,0.809458333333333,-0.571885766580556
2013-02-07 12:05:00,83.3333333333333,1.43252777777778,106.927909668386
2013-02-07 18:05:00,80.8333333333333,1.05976388888889,52.1271586994
2013-02-08 00:05:00,93.6666666666667,0.249694444444444,-0.169864341081944
2013-02-08 06:05:00,96.8333333333333,-0.0447361111111111,-0.443548126613889
2013-02-08 12:05:00,85.1666666666667,0.684472222222222,99.8978359173153
2013-02-08 18:05:00,43.8620689655172,2.52610344827586,390.768718257152
